event_id,rate,gmpe
0,1.391127472604071e-05,ZhaoEtAl2006Asc()
1,1.391127472604071e-05,ZhaoEtAl2006Asc()
2,1.391127472604071e-05,ZhaoEtAl2006Asc()
3,1.391127472604071e-05,ZhaoEtAl2006Asc()
4,1.391127472604071e-05,ZhaoEtAl2006Asc()
5,1.391127472604071e-05,ZhaoEtAl2006Asc()
6,1.391127472604071e-05,ZhaoEtAl2006Asc()
7,1.391127472604071e-05,ZhaoEtAl2006Asc()
8,1.391127472604071e-05,ZhaoEtAl2006Asc()
9,1.391127472604071e-05,ZhaoEtAl2006Asc()
10,1.391127472604071e-05,ZhaoEtAl2006Asc()
11,1.391127472604071e-05,ZhaoEtAl2006Asc()
12,1.391127472604071e-05,ZhaoEtAl2006Asc()
13,1.391127472604071e-05,ZhaoEtAl2006Asc()
14,1.391127472604071e-05,ZhaoEtAl2006Asc()
15,1.391127472604071e-05,ZhaoEtAl2006Asc()
16,1.391127472604071e-05,ZhaoEtAl2006Asc()
17,1.391127472604071e-05,ZhaoEtAl2006Asc()
18,3.875849699684657e-05,ZhaoEtAl2006Asc()
19,3.1576713545539404e-05,ZhaoEtAl2006Asc()
20,2.5725683800849862e-05,ZhaoEtAl2006Asc()
21,2.095882480191792e-05,ZhaoEtAl2006Asc()
22,1.7075244354164773e-05,ZhaoEtAl2006Asc()
23,1.391127472604071e-05,ZhaoEtAl2006Asc()
24,3.875849699684657e-05,ZhaoEtAl2006Asc()
25,3.1576713545539404e-05,ZhaoEtAl2006Asc()
26,2.5725683800849862e-05,ZhaoEtAl2006Asc()
27,2.095882480191792e-05,ZhaoEtAl2006Asc()
28,1.7075244354164773e-05,ZhaoEtAl2006Asc()
29,1.391127472604071e-05,ZhaoEtAl2006Asc()
30,3.875849699684657e-05,ZhaoEtAl2006Asc()
31,3.1576713545539404e-05,ZhaoEtAl2006Asc()
32,2.5725683800849862e-05,ZhaoEtAl2006Asc()
33,2.095882480191792e-05,ZhaoEtAl2006Asc()
34,1.7075244354164773e-05,ZhaoEtAl2006Asc()
35,1.391127472604071e-05,ZhaoEtAl2006Asc()
36,3.875849699684657e-05,ZhaoEtAl2006Asc()
37,3.1576713545539404e-05,ZhaoEtAl2006Asc()
38,2.5725683800849862e-05,ZhaoEtAl2006Asc()
39,2.095882480191792e-05,ZhaoEtAl2006Asc()
40,1.7075244354164773e-05,ZhaoEtAl2006Asc()
41,1.391127472604071e-05,ZhaoEtAl2006Asc()
42,3.875849699684657e-05,ZhaoEtAl2006Asc()
43,3.1576713545539404e-05,ZhaoEtAl2006Asc()
44,2.5725683800849862e-05,ZhaoEtAl2006Asc()
45,2.095882480191792e-05,ZhaoEtAl2006Asc()
46,1.7075244354164773e-05,ZhaoEtAl2006Asc()
47,1.391127472604071e-05,ZhaoEtAl2006Asc()
48,3.875849699684657e-05,ZhaoEtAl2006Asc()
49,3.1576713545539404e-05,ZhaoEtAl2006Asc()
50,2.5725683800849862e-05,ZhaoEtAl2006Asc()
51,2.095882480191792e-05,ZhaoEtAl2006Asc()
52,1.7075244354164773e-05,ZhaoEtAl2006Asc()
53,1.391127472604071e-05,ZhaoEtAl2006Asc()
54,3.875849699684657e-05,ZhaoEtAl2006Asc()
55,3.1576713545539404e-05,ZhaoEtAl2006Asc()
56,2.5725683800849862e-05,ZhaoEtAl2006Asc()
57,2.095882480191792e-05,ZhaoEtAl2006Asc()
58,1.7075244354164773e-05,ZhaoEtAl2006Asc()
59,1.391127472604071e-05,ZhaoEtAl2006Asc()
60,1.391127472604071e-05,ZhaoEtAl2006Asc()
61,1.391127472604071e-05,ZhaoEtAl2006Asc()
62,1.391127472604071e-05,ZhaoEtAl2006Asc()
63,1.391127472604071e-05,ZhaoEtAl2006Asc()
64,1.391127472604071e-05,ZhaoEtAl2006Asc()
65,1.391127472604071e-05,ZhaoEtAl2006Asc()
66,3.875849699684657e-05,ZhaoEtAl2006Asc()
67,3.1576713545539404e-05,ZhaoEtAl2006Asc()
68,2.5725683800849862e-05,ZhaoEtAl2006Asc()
69,2.095882480191792e-05,ZhaoEtAl2006Asc()
70,1.7075244354164773e-05,ZhaoEtAl2006Asc()
71,1.391127472604071e-05,ZhaoEtAl2006Asc()
72,3.875849699684657e-05,ZhaoEtAl2006Asc()
73,3.1576713545539404e-05,ZhaoEtAl2006Asc()
74,2.5725683800849862e-05,ZhaoEtAl2006Asc()
75,2.095882480191792e-05,ZhaoEtAl2006Asc()
76,1.7075244354164773e-05,ZhaoEtAl2006Asc()
77,1.391127472604071e-05,ZhaoEtAl2006Asc()
78,0.00010798586894718717,ZhaoEtAl2006Asc()
79,8.797655004498552e-05,ZhaoEtAl2006Asc()
80,7.167487221502349e-05,ZhaoEtAl2006Asc()
81,5.839382545022599e-05,ZhaoEtAl2006Asc()
82,4.757369975466426e-05,ZhaoEtAl2006Asc()
83,3.875849699684657e-05,ZhaoEtAl2006Asc()
84,3.1576713545539404e-05,ZhaoEtAl2006Asc()
85,2.5725683800849862e-05,ZhaoEtAl2006Asc()
86,2.095882480191792e-05,ZhaoEtAl2006Asc()
87,1.7075244354164773e-05,ZhaoEtAl2006Asc()
88,1.391127472604071e-05,ZhaoEtAl2006Asc()
89,0.00010798586894718717,ZhaoEtAl2006Asc()
90,8.797655004498552e-05,ZhaoEtAl2006Asc()
91,7.167487221502349e-05,ZhaoEtAl2006Asc()
92,5.839382545022599e-05,ZhaoEtAl2006Asc()
93,4.757369975466426e-05,ZhaoEtAl2006Asc()
94,3.875849699684657e-05,ZhaoEtAl2006Asc()
95,3.1576713545539404e-05,ZhaoEtAl2006Asc()
96,2.5725683800849862e-05,ZhaoEtAl2006Asc()
97,2.095882480191792e-05,ZhaoEtAl2006Asc()
98,1.7075244354164773e-05,ZhaoEtAl2006Asc()
99,1.391127472604071e-05,ZhaoEtAl2006Asc()
100,0.00010798586894718717,ZhaoEtAl2006Asc()
101,8.797655004498552e-05,ZhaoEtAl2006Asc()
102,7.167487221502349e-05,ZhaoEtAl2006Asc()
103,5.839382545022599e-05,ZhaoEtAl2006Asc()
104,4.757369975466426e-05,ZhaoEtAl2006Asc()
105,3.875849699684657e-05,ZhaoEtAl2006Asc()
106,3.1576713545539404e-05,ZhaoEtAl2006Asc()
107,2.5725683800849862e-05,ZhaoEtAl2006Asc()
108,2.095882480191792e-05,ZhaoEtAl2006Asc()
109,1.7075244354164773e-05,ZhaoEtAl2006Asc()
110,1.391127472604071e-05,ZhaoEtAl2006Asc()
111,0.00010798586894718717,ZhaoEtAl2006Asc()
112,8.797655004498552e-05,ZhaoEtAl2006Asc()
113,7.167487221502349e-05,ZhaoEtAl2006Asc()
114,5.839382545022599e-05,ZhaoEtAl2006Asc()
115,4.757369975466426e-05,ZhaoEtAl2006Asc()
116,3.875849699684657e-05,ZhaoEtAl2006Asc()
117,3.1576713545539404e-05,ZhaoEtAl2006Asc()
118,2.5725683800849862e-05,ZhaoEtAl2006Asc()
119,2.095882480191792e-05,ZhaoEtAl2006Asc()
120,1.7075244354164773e-05,ZhaoEtAl2006Asc()
121,1.391127472604071e-05,ZhaoEtAl2006Asc()
122,3.875849699684657e-05,ZhaoEtAl2006Asc()
